TITLE,BGG_URL,COMMENTS,LOCATION,BGG_ID,MINPLAYERS,MAXPLAYERS,THUMBNAIL,IMAGE,DESCRIPTION,YEAR,TYPE,BASEGAME
Conflict of Heroes: Eastern Front – Solo Expansion,https://boardgamegeek.com/boardgameexpansion/142585/conflict-heroes-eastern-front-solo-expansion,,R2,142585,1.0,1.0,https://cf.geekdo-images.com/thumb/img/K6IYsncOqcbUnOAthyQgeFoRHzQ=/fit-in/200x150/pic2525095.jpg,https://cf.geekdo-images.com/original/img/-A7w4Y10xC2JALrASTMeRebYTW0=/0x0/pic2525095.jpg,"After more than three years of development, Conflict of Heroes: Eastern Front - Solo Expansion revolutionizes solo tactical play. Instead of AI units being individually programmed as in past games, AI units utilize a unique emergent behavior and agent-based logic. Each situation is evaluated and the AI implements the best course of action using available resources and unit assets. Even veteran CoH players will be challenged to hone and adapt their playing styles in order to overcome the AI!In the Conflict of Heroes Solo System, players no longer track APs, but must make a Unit Spent Check after every action. The higher the cost in APs an action was, the higher the probability that the unit will be spent. Now a player must decide if he will augment his action with APs or increase his chance of keeping the unit fresh!Each Firefight has its own Mission Track. A Mission Track is a series of events that are triggered if the Mission Marker lands on an event's space. Certain orders advance the Mission Marker 1, 2 or 3 spaces, so the game is different each time you play. The firefight ends immediately when the Mission Marker lands on or passes the last space of the Mission Track.Note: With a bit of adapting, this expansion can be used with 1st Edition Conflict of Heroes. And with a different bit of adapting, this expansion can be used with 3rd Edition Conflict of Heroes...Note: The base game 2-player scenarios are NOT playable with solitaire rules ""out of the box""; solitaire scenarios need additional elements (mission track etc). So additional homebrew tinkering is needed to adapt an existing 2-player scenario for use with the solitaire system. But the solitaire expansion comes with many (new) scenarios, and the Firefight Generator expansion permits creating solitaire scenarios.",2015.0,Expansion,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (second edition)
Conflict of Heroes: Price of Honour – Poland 1939,https://boardgamegeek.com/boardgameexpansion/45132/conflict-heroes-price-honour-poland-1939,French with printed English rules,R2,45132,1.0,4.0,https://cf.geekdo-images.com/thumb/img/4nVm0MW5iGbrUVJDlCremeP739M=/fit-in/200x150/pic843678.jpg,https://cf.geekdo-images.com/original/img/h6XNL486G8hRPhedZ4koZTMLlyg=/0x0/pic843678.jpg,"“Peace is a precious and a desirable thing. Our generation, bloodied in wars, certainly deserves peace. But peace, like almost all things of this world, has its price, a high but a measurable one. We in Poland do not know the concept of peace at any price. There is only one thing in the lives of men, nations and countries that is without price. That thing is honour.” - Polish Minister of Foreign Affairs Józef Beck, 5th of May, 1939September 1st, 1939. Germany invades Poland in the early morning hours. The Germans employ highly mobile massed tank formations, closely supported by mobile artillery and their airforce - the Luftwaffe. The world would come to know this warfare as the “Blitzkrieg”. As the Polish forces are being driven back, they are ordered to mass together near the Romanian border, where they will try to hold out until the Allies invade Germany from the West. But then the Soviets surprise attack the Poles from the East, cutting through their weakly defended border and fullfilling their secret pact with Germany to split Poland between their two nations.Price of Honour, is an expansion game which requires either of the award winning games - Awakening the Bear! and/or Storms of Steel!Players are presented with the same tactical dilemmas and decisions that commanders faced during some of the most ferocious engagements of WWII.Conflict of Heroes (CoH) follows the evolution of modern tactics, from WWII to the present. CoH features a fast and fluid system that is easy to learn, but realistic for every unique theater of battles portrayed.• Fun: Quick simultaneous play allows players to interact without waiting.• Easy: Teach a new player how to play in under 5 minutes. No charts!• Historically Accurate: Portrays realistic forces and tactics.• Units: Depict individual vehicles, airplanes, boats, guns and squads.• Consistent: Each game in the series uses the same rule system.The Price of Honour expansion includes:2 - 15x19 inch geomorphic mounted map boards that integrate with the maps of all other CoH games.210 - LARGE 1” square early war units including armored cars, tankettes, pioneers, cavalry, bi-planes, anti-tank guns, early war MGs and many more.1 - player summary sheet, customized plastic counter storage tray, (Box says 2, but comes only with 1)32 page firefight book with a full historical overview and 16 firefights, 12 of which can be played with Awakening the Bear! and 12 with Storms of Steel!A rule book summarizing all Conflict of Heroes Eastern Front units from 1939-43.Price of Honour is an expansion game and requires Awakening the Bear! and/or Storms of Steel!",2010.0,Expansion,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (second edition) AND Conflict of Heroes: Awakening the Bear! – Russia 1941-42 AND Conflict of Heroes: Storms of Steel! – Kursk 1943
Conflict of Heroes: Storms of Steel! – Kursk 1943,https://boardgamegeek.com/boardgame/38823/conflict-heroes-storms-steel-kursk-1943,,R2,38823,1.0,4.0,https://cf.geekdo-images.com/thumb/img/egQPbY1zN2I8Jco4o9VEOI0-a0Q=/fit-in/200x150/pic439690.jpg,https://cf.geekdo-images.com/original/img/Nx82HG-ErGDx_lPu0H6k1sQTQMQ=/0x0/pic439690.jpg,"Massive tank battles for the historical wargame that Eurogamers love to play!Storms of Steel! makes you a witness to the greatest tank battle in history! After their stinging defeat at Stalingrad, the Germans mass their best forces for an all-out attack against the growing Soviet bulge at Kursk. The Soviets’ network of master spies has caught wind of the German plans, and they are prepared to trap and decimate the best panzer forces the Germans can muster...No one is safe from the blazing steel raining from above as dive bombers and strafing attacks are combined with ground operations. Now you will need to consider all three dimensions of the battlefield with the unique new “3D” aircraft movement and attack rules. Your ground forces get a boost also, with the new “Veteran” and “Special Weapon” cards that allow you to customize your units to suit your own tactical goals and style!Storms of Steel! is the second stand-alone title in the best selling “Conflict of Heroes” series and follows in the footsteps of Awakening the Bear! Each game in the series uses the same core rules system, so it’s easy to advance from one game to the next!The “Conflict of Heroes” system offers a unique blend of playability and realism.    Fun: Quick-paced simultaneous play keeps you in the action all the time!     Fast: Scenarios can be played in as little as half an hour or as long as 2 hours.     Easy: You can teach a new player how to play in under 5 minutes!     BIG: The high quality maps & counters are BIG and easy to read. The counters are 1” square!     Multi-player: Scenarios are included that are playable by 2 - 4 players.    Historically Accurate: Learn the unique tactics and logistics used by each side as you experience the same battlefield challenges real commanders faced! Noted historical game designers and WWII researchers Dana Lombardy, Bill Jaffe, and John Hill have joined forces to make the campaigns as realistic as possible.Storms of Steel! includes 4 new geomorphic map boards (including river, hill, and city overlays), 72 pc action card deck, hundreds of new units including Tiger tanks, Soviet rockets, strafing airplanes, and much, more!",2009.0,Game,
Conquest of the Pacific,https://boardgamegeek.com/boardgameexpansion/12838/conquest-pacific,,R2,12838,2.0,2.0,https://cf.geekdo-images.com/thumb/img/PReOTwdrffwFYbPMJSYENPQKhHQ=/fit-in/200x150/pic113954.jpg,https://cf.geekdo-images.com/original/img/fh_aWX9sGyJQCyFX4ihOX16NmQU=/0x0/pic113954.jpg,"Conquest of the Pacific is just that, a naval contest between unit rich, production poor Japan and unit poor, production rich America. The game does not include Asia. It is strictly a series of naval and island hopping maneuvering and battles fought in the Pacific. We always wanted to play with the boats more in A&A, but we also wanted to win. The boats and planes are so expensive that no one can really afford to wage much sea war after the first turn or two in A&A. Enter Conquest of the Pacific. Both sides face daunting tasks. Japan has a huge fleet, but has a lot of islands it needs to conquer to win, and ends up being so far away from its supply lines that it usually can't defend everything while still being able to challenge the growing American fleet. America starts the war far from a state of readiness, but its huge economic advantage helps make up for it. The front is close to the US, so supply lines are short, but the Japanese fleet is usually much larger if it can consolidate. This makes for some interesting cat and mouse maneuvering and epic sea battles.Planes take a large role in Conquest of the Pacific as they are able to:1. land and take off from islands without it costing a movement point because the island and the sea zone(s) surrounding/adjacent to the island are considered the same zone.2. project their defensive power one sea zone away from their island base zone during the opponent's combat phase.3. defensively scramble to attack anything entering their zones of projected power during the opponent's turn on the combat movement and non-combat movement phases.4. escort other units to protect them from defensive scramblers.Battleships and Destroyers may bombard every round during an invasion, or once per turn without a land invasion. Battleships and Carriers take two hits to kill and can be repaired at several ports on the map. And, be on the lookout for the Japanese SuperBattleship, the Yamato. It attacks, defends, and bombards at a 5 and takes 3 hits to kill, ouch! It really is fun to get to play with all the expensive pieces!",2000.0,Expansion,Axis & Allies AND Axis & Allies AND Axis & Allies Anniversary Edition AND Axis & Allies: 1942
Cosmic Encounter,https://boardgamegeek.com/boardgame/15/cosmic-encounter,,R2,15,2.0,6.0,https://cf.geekdo-images.com/thumb/img/ku9JLe-4isTBgHyiJbZ5cSbf8S8=/fit-in/200x150/pic428608.jpg,https://cf.geekdo-images.com/original/img/5koT3dPNbvckjXGwCFBX3TYfLLk=/0x0/pic428608.jpg,"By request of Fantasy Flight Games, Board Game Geek lists the various editions of Cosmic Encounter in separate entries. Each edition is the same game at its core, but the features, compatible expansions, and production differ among them. This entry is for the original 1977 Eon version.Players represent alien races that are seeking to spread themselves onto five foreign worlds.  To accomplish this, they make challenges against other players and enlist the aid of interested parties.  But alien powers, which are unique to each race, give players ways to bend or outright break some rule in the game.The game continues until one player occupies five planets in other systems to win. Shared victories are possible and a player need not occupy one's own system to win.",1977.0,Game,
Cross of Iron,https://boardgamegeek.com/boardgame/2587/cross-iron,Expansion for Squad Leader,R2,2587,1.0,2.0,https://cf.geekdo-images.com/thumb/img/yhOjFk4WcESl_znO_TgXwVUGy14=/fit-in/200x150/pic771964.jpg,https://cf.geekdo-images.com/original/img/h0fjGLCkBpFnJfisSj9loKzSgAQ=/0x0/pic771964.jpg,"Suddenly there was a tremendous explosion and I was instantly drenched in a cascade of cold water. Paralyzed for what seemed an eternity, I watched dark figures of men darting wildly about...our own accompanying infantry diving for cover. What was happening? Then realization hit me like a slap in the face...the water tins on the back of the Mk III had been hit. As I grabbed for the hatch, I was already giving the order to the gunner to traverse the turret. “Schnell.” One comprehensive glance had taken it all in and fear all but overwhelmed me. Not 50 yards away, a slowly-rising wisp of white smoke gave away the position of the 45mm anti-tank gun pointed straight at the panzer, pointed...so it seemed anyway, straight between my eyes. “Hard Right!” Beyond it were supporting Russian infantry—all too visible now behind their chattering small arms fire and the louder, staccato hammering of a supporting heavy machine gun. “CLANG” The tank shuddered with the reverberation of a direct hit against the front of the revolving turret. The added 30mm of frontal armour had saved them this time. Now quickly before they can reload...”Fire.” This is CROSS OF IRON...a gripping game of tactical combat on the Russian Front. Following in the footsteps of its amazingly successful predecessor, CROSS OF IRON comes replete with an entirely restructured armour and artillery system, which does for armour combat what its predecessor, SQUAD LEADER, did for infantry actions. In fact, the first thing the game instructs you to do is throw away your old artillery and armour counters to make way for their expanded revised counterparts. Each AFV now has three separate MG factors, turret position differentiation, “button up” penalties, and advantages, target size differentiation, varying amour modifiers and much more. CROSS OF IRON again utilizes programmed instruction to guide you through 8 scenarios of increasing realism and complexity. The 36-page rulebook starts in where the SQUAD LEADER rules left off...at section 63 and continues on to section 103. An expanded Campaign Game enables players to simulate virtually any action of their choosing with a vastly enlarged counter mix encompassing virtually every AFV which saw action WWII...from the diminutive BT5 to the mammoth King Tiger.CROSS OF IRON is more than just a game. When combined with SQUAD LEADER, it provides a system which can be used to portray any Eastern Front action. Be forewarned! CROSS OF IRON is not an easy game. Do not attempt it unless you have first mastered SQUAD LEADER.In each game you get:     520 double-printed ½"" die-cut counters representing the men and weapons that made up the combatants of the Eastern Front.     576 double-printed â…"" vehicular and artillery counters encompassing the entire OB of the war in Russia.     An additional 8"" × 22"" geomorphic mapboard section increasing the possible terrain configurations and adding several new terrain types.     Comprehensive, illustrated 36-page rule booklet.     Scenario Cards for game situations 13-20.     Two expanded Quick Reference Data Cards.New features include:            Rockets        Infantry Guns        Range Effects on Penetration                Paratroop Drops        Burning AFVs        Reverse Movement                Armour Leaders        Ammo Depletion        Rumanians                Target Acquisition        Intensive Fire        Height Advantage                Molotov Cocktails        Stukas        Anti-Tank Magnetic Mines                SS        Marsh, Gullies & Forest-Roads        Prisoners                Bore Sighting        AT Rifles                Armoured Cars        Volksgrenadiers & Conscripts        … and much, much more                Cavalry        Snipers                Partisans        Fire & Weather Effects                Anti-Aircraft Guns                Critical Hits                    Ownership of SQUAD LEADER is necessary to play this game.",1978.0,Expansion,Squad Leader
DOOM: The Board Game,https://boardgamegeek.com/boardgame/205317/doom-board-game,,Games Locker 2 R2 Middle Box,205317,2.0,5.0,https://cf.geekdo-images.com/thumb/img/OvgUoiB_jWcnlsIGtj5WaLxZ_MU=/fit-in/200x150/pic3116318.jpg,https://cf.geekdo-images.com/original/img/cjKZNyi_0E7GR1zZpWiz9odtgvo=/0x0/pic3116318.jpg,"Description from the publisher:DOOM: The Board Game is strategy board game of tactical combat for 2-5 players based on Bethesda and id Software's video game of the same name. Featuring two distinct player roles, the game brings the epic battle between elite marines and Hell's most threatening monsters to the tabletop.DOOM immerses players in a fierce battle between legions of demons — which are controlled by one invader player — and a cooperative team of up to four marines. The game guides players through two cohesive operations, during which the marines strive to achieve objectives like restoring power to the United Aerospace Corporation's facilities or manning expeditions right down into the pits of Hell. Meanwhile, the invader commands their demons to slaughter the soldiers time and time again in an attempt to protect their fiery domain and destroy all of humanity.The game features custom dice, double-sided map tiles, and thirty-seven detailed plastic miniatures representing four marines and thirty-three demons. It includes two operations, Black Bishop and Exodus, consisting of six missions each.",2016.0,Game,
Dark Darker Darkest,https://boardgamegeek.com/boardgame/59429/dark-darker-darkest,,Games Locker 2 R2 Upper Moving Box,59429,2.0,5.0,https://cf.geekdo-images.com/thumb/img/_gpfmYyZ8SrfDMMrlwoKCr0C7ZY=/fit-in/200x150/pic1429220.jpg,https://cf.geekdo-images.com/original/img/ftD_Tx-SvSSBjURLDy7GsTyhCbk=/0x0/pic1429220.jpg,"Dark Darker Darkest is an intense cooperative survival horror game in which a team of urban survivors try to fight the darkness in an unsettling location: the house of Doctor Mortimer, which holds the antidote to a virus turning the world into an army of undead.Players must gather the optimal tools to open doors, control destructive fires that slowly destroy the locations of the game, and battle the endless hordes of terrifying creatures that will do anything to slaughter this fragile group, while outsneaking lurking creatures and the eye of the ever-present security cameras guarding the secrets of the house.The game uses innovative mechanisms for group-forming and mixes item management (using a color-code system), exploration, stealth, and icon-driven combat to form an intense tactical experience in a strongly thematic setting riddled with surprises and variation. All the creatures and other challenges are controlled by the A.I. of the game system. The board is modular, creating a unique narrative experience for each session.Can you fight the darkness?NOTE: The Designer has uploaded a Revised Set of Rules in the Files Section that greatly streamlines play.  As of now, boxed copies only have the older ruleset.DARK DARKER DARKEST Un jeu coopératif de survie et d'horreur.""Une équipe de 2 à 5 survivants doit explorer la demeure étroitement gardée du docteur Mortimer afin de découvrir son laboratoire, de le déverrouiller et de mettre la main sur l'antidote. C'est la seule façon de mettre un terme à cette apocalyptique invasion de zombies. Pour déjouer le système de sécurité, l'équipe doit dénicher de l'équipement dans lamaison afin de déverrouiller les portes. Les codes des portes permettront finalement aux joueurs d'ouvrir le labo... où ils découvriront qu'aux hordes de zombies, aux créatures enragées et aux incendies qu'ils ont dûaffronter jusqu'ici s'ajoute une créature abominable, la Némésis, dont ils devront venir à bout au cours d'un final spectaculaire.""Les joueurs coopèrent et luttent ensemble contre le système de jeu a fin de déjouer les pièges du laboratoire !• Un jeu de zombies coopératif.• Une grande re-jouabilité.• Une mise en place modulable",2013.0,Game,
Deadwood Studios USA,https://boardgamegeek.com/boardgame/1489/deadwood-studios-usa,,Games Locker 2 R2,1489,2.0,8.0,https://cf.geekdo-images.com/thumb/img/6doSVD1eoanD0UGkknSoQhSSJx4=/fit-in/200x150/pic1732708.jpg,https://cf.geekdo-images.com/original/img/zIFPQMAmtg4Wh04ZIghuG7mO7KA=/0x0/pic1732708.jpg,"Time to film the latest western being produced at Deadwood Studios, makers of terrible western movies. All the special roles are up for grabs: ""Man falling off roof"", ""Crying woman"", ""Stagecoach driver"", ""Dead man"", and more. Yes, they're all available, and if you're good enough – that is, if you progress up through the ""hack"" levels represented by the number on your character's die – you may even get to play that complicated character part ""Rear-end of Horse""!In Deadwood Studios USA (originally published as Deadwood), players wander across the backlot each day, looking for acting jobs. Your actor is a six-sided die, and the number on top represents your status. (These dice are never rolled; they just show your status.) After you take a role in the movie, you can roll a die and try to ""act"", or you can ""rehearse"" to improve your odds. As you work, you'll earn money and fame, and you can trade those things at the casting office for higher status, which brings you the ability to take better-paying roles.At the end of the game, you add up your money, fame, and status points, and the player with the highest score is the best actor at Deadwood Studios!",1999.0,Game,
Divided Republic,https://boardgamegeek.com/boardgame/99078/divided-republic,,Games Locker 2 R2 Upper Moving Box,99078,2.0,4.0,https://cf.geekdo-images.com/thumb/img/5LHUBtEnKdWLiG-hx7O0XEwezjk=/fit-in/200x150/pic1085627.png,https://cf.geekdo-images.com/original/img/x8RnLZFMs2RYfkq9eslTrCs0SEg=/0x0/pic1085627.png,"The presidential election of 1860 was one of the most critical in the history of the United States. With civil war looming as a near inevitability, the challenge was to find a way forward after years of degenerating political discourse in the increasingly divided American electorate. In the end, after months of contentious campaigning between four (!) major parties and over a dozen smaller ones, the election was won by the Republican dark horse candidate, a little known Illinois politician named Abraham Lincoln who hadn't even been the first choice of his party's senior leadership.Divided Republic is a card driven two to four player game representing the last calm before the storm that was to become the American Civil War. Players represent the four major parties (Constitutional Unionists, Northern Democrats, Republicans, and Southern Democrats) and attempt to win the presidency by defeating their opponents with dirty tricks, platform speeches, and the manipulation of key historical events. All the while, President Buchanan interferes, radicals riot, and the country continues the downward spiral toward civil war. If one party wins the election by achieving the necessary 152+ electoral votes, or wins in the case of an electoral tie thrown to the US Congress, history may well change. Nevertheless, there is always the chance that the population of South Carolina will finally explode into open rebellion and secede, ending the game, at which point everyone loses!This is a light to medium weight game with intense player interaction, card-driven play, and a play time of about 2-3 hours depending upon how events proceed. There are even a few laughs along the way as the mudslinging between parties heats up. Literally anyone can win - it's not simply a cut and dry Republican victory. This is a different kind of US election game, a game where there are not two, but four parties, set in a period when candidates did not generally campaign for themselves, and run in an era when the Republicans were still liberals and the Democrats were the vanguard of traditional American conservatism.",2012.0,Game,
Duel of the Giants: Eastern Front,https://boardgamegeek.com/boardgame/70324/duel-giants-eastern-front,,Games Locker 2 R2 Upper Moving Box,70324,2.0,4.0,https://cf.geekdo-images.com/thumb/img/jeu1UvVxH4mvyw-RZJ5IXQwbJdU=/fit-in/200x150/pic716837.jpg,https://cf.geekdo-images.com/original/img/52qVXJO6r22bwo0VHWoEuoM2MTQ=/0x0/pic716837.jpg,"From the designer of Duel in the Dark, comes tank battles on the Eastern Front. Russians vs Germans. As the German player, are you prepared to defend your section of the front against the endless Red hordes? Or, as the Soviet player, are you going to be able to break through the Fascist lines and continue the advance towards Berlin?""Duel of the Giants"" allows you to recreate the great tank battles on the Eastern Front in 1943. As the German player, you must plan your moves carefully to anticipate the Soviet advance. The Soviet player can take chances with his many tanks to overwhelm the limited German defenses.Good planning, preparation, and skill will be required to carry the day. Onward to victory - you now must begin the fight of your life...Comes with 11 plastic minis - 10 tanks and one Stuka plane.",2010.0,Game,
Easy Foot,https://boardgamegeek.com/boardgame/123088/easy-foot,6 copies,Games Locker 2 R2,123088,2.0,2.0,https://cf.geekdo-images.com/thumb/img/dLFUOC3Ho0X7fx-ysPUuBbVamdw=/fit-in/200x150/pic1279299.jpg,https://cf.geekdo-images.com/original/img/TOepQU0KGJrD-1gBF5fvoMHgZQU=/0x0/pic1279299.jpg,"Football game with dice.There are 7 dice in this game and player rolls these on his turn.Different dice have different faces like: passing, defencing, corner kick, fault, shot a goal, penalty and players do the actions according to dice.A game consists of two half-time of three minutes. Players with the most goals at the end of the game is the winner",2011.0,Game,
Empire Builder,https://boardgamegeek.com/boardgame/168/empire-builder,,R2,168,2.0,6.0,https://cf.geekdo-images.com/thumb/img/hG2hqrUaQbp-itoTGc1G3CTi7SI=/fit-in/200x150/pic436693.jpg,https://cf.geekdo-images.com/original/img/QjQ8mt0yct1GPJtDKFn4c8do1Yo=/0x0/pic436693.jpg,"Epic Railroad Building in North AmericaDiscover a modern North American classic.  Celebrate one of our most vital and enduring passions: railroads.  Use your initial investment to build track.  Then pick up commodities where they are grown, mined, or manufactured and deliver them to a lucrative place of demand.  Complete a delivery and make the money you need to buy larger, faster trains, and expand your railroad empire.  Win the game by building the most effective railroad empire!The original and flagship of Mayfair's crayon-rails line allows players, using washable crayons, to draw their train routes over a map of North America.  Players start with an initial sum of money which they use to build short lengths of track during their first couple of turns.  For the rest of the game, players operate their trains over the track network drawn on the board to pick up and deliver loads to various cities, and then have the opportunity to add to their track network or improve their train.  The game uses demand cards which list three demands, each of a commodity to be delivered to a specified city for a given payoff.  Each player has three demand cards to provide opportunities for income.Each turn consists of an operations phase and a building phase.  During the operations phase, trains are moved to cities where commodities are picked up at no cost and moved to one of the cities on that player's demand cards.  When the commodity is delivered, the player receives the payoff and trades that demand card for a new one.  Event cards are mixed in the deck with the demand cards.  When an event card is drawn the instructions are followed.  During the building phase a player may pay to build more track or upgrade his train.A player wins by being the first to connect his track network to six of the seven major cities on the board and acquire $250,000,000 in cash on hand.",1982.0,Game,
Endeavor,https://boardgamegeek.com/boardgame/33160/endeavor,,Games Locker 2 R2 Upper Moving Box,33160,3.0,5.0,https://cf.geekdo-images.com/thumb/img/RymFCW1LW0dmx6aHsUsyxa_7iy0=/fit-in/200x150/pic379881.jpg,https://cf.geekdo-images.com/original/img/BiF5c2XHFSPHeIaZic6TrxSAna8=/0x0/pic379881.jpg,"It is a time when the maps of the world are still being filled in. Seagoing empires expand their frontiers by sending ships to the farthest reaches of the globe in search of new lands, new alliances, and new conquests. The wealth of the newly-discovered worlds abroad is a tempting prize for those with the strength and the cunning to seize it... and to hold it!You represent a growing empire engaged in a glorious endeavor to expand yourinfluence and status at home and across the great oceans of the world. Through exploration and shipping, colonization and war, you will struggle with the other great powers to control the resources and the regions that unfold before you.The goal in Endeavor is to earn the most glory for your empire. Players earn glory by increasing their scores in Industry, Culture, Finance, and Politics, as well as by occupying cities, controlling connections between cities, and by holding certain Asset Cards and Building Tiles. Short-term goals of constructing useful buildings, gathering Trade Tokens, and obtaining Asset Cards must be balanced with the overall goal of attaining glory as you compete for control over the various regions of the world. The game only lasts seven rounds, and when it is over you want to be the one who has earned the most Glory points!Each round every player gets to build a new building, based on their Industry track. They then obtain new population markers based on their Culture track and retrieve used markers from building based on their Finance track. During the action phase, players take turns to either activate a building using a population marker or spend trade tokens to take an action: Ship, Occupy, Attack, Payment or Draw. Some buildings and tokens allow a player to take one or both of two actions. Shipping is used to open new regions for Occupation and Drawing, and gains you Trade Tokens. Once a shipping track is full, the player with the most influence in that region gains the powerful Governor card for that region. Occupation of a city results in glory and Trade Tokens, while Attacking steals a city from an opponent! Either Occupation or Attacking can result in claiming the connection between two cities, if both connected cities are controlled by the same player. Drawing gains a card from a region up to the maximum hand limit based on the player's Politics track. A player's influence in a region determines which cards they can draw. Once all players have passed, a new round begins.",2009.0,Game,
Escape: The Curse of the Temple – Expansion 1: Illusions,https://boardgamegeek.com/boardgameexpansion/128236/escape-curse-temple-expansion-1-illusions,,R2,128236,1.0,6.0,https://cf.geekdo-images.com/thumb/img/6G9nviAex4hvGSkUAt8sMVgyOIM=/fit-in/200x150/pic1374177.jpg,https://cf.geekdo-images.com/original/img/APXS-tNF_2mkrKzLgD08cLYDyPk=/0x0/pic1374177.jpg,"Escape: Illusions includes two new modules for the Escape base game that can be used individually or mixed with any other available modules.The ""Illusion Chambers"" module consists of six chamber tiles that replace the tiles with only one magic gem in the basic game. After players return to the starting chamber during the game – something they must do twice in order to avoid losing a die – all illusion chambers in play are removed and returned to the bottom of the tile deck. Hopefully you already completed your business in any section of the temple now disconnected from the rest!The ""Special Chambers"" module consists of six new chamber tiles, divided as follows:    Three linked chamber tiles that allow you to activate magic gems, thereby making it easier for the adventurers to escape the temple – but the gems can be activated only if players are in two separate such chambers at the same time.    Two double chamber tiles that consist of a front and back room, with access to the back room being available only if you add tiles to the temple and snake around to the back. Why do you want to reach this room? More opportunities to activate magic gems and ease your way out of the temple.    One treasure chamber tile, containing a chalice that adventurers must bear to the exit tile. If they fail to do so, they lose the game – even if they otherwise would all escape!Components for a sixth player are included, as well as two copies each of one new curse card (""Soul Exchange"") and one new treasure tile (""Large Torch"").",2012.0,Expansion,Escape: The Curse of the Temple
Fief: France 1429,https://boardgamegeek.com/boardgame/152470/fief-france-1429,,Games Locker 2 R2 Middle Box,152470,3.0,6.0,https://cf.geekdo-images.com/thumb/img/KbhOkrfG6g1Si1d24ZGvx_Tlz_o=/fit-in/200x150/pic1875823.jpg,https://cf.geekdo-images.com/original/img/oakeWoApknELx5r0aPTjulRsd-Y=/0x0/pic1875823.jpg,"Fief: France 1429 is a game of dynastic ambition in which players assume the roles of nobles in the 15th century kingdom of France. Each player strives to become the most powerful ruling force in the kingdom by gaining control of Fief and Bishopric territories. In turn, they acquire Royal and Ecclesiastical (church) titles which give their families influence to elect the next Pope and King. Players strengthen their positions by negotiating marriage alliances between their families, setting the stage for love, treachery and deception!Fief is a classic French-language game and is being re-introduced by Academy Games in English with updated rules, new units, a new and larger consolidated map, and more. This edition also includes additional components, which enhances game play. The game board represents a portion of the Kingdom of France in the Middle Ages. Villages have square outlines that are connected by roads that allow Lord and Troop movement. The villages are grouped into eight colored background areas that represent individual Fiefs, which are domains given to Lords to preside over. Fiefs have different colored backgrounds and Bishoprics have heavy bordered outlines that include several different Fiefs. Each village also belongs to one of five church Bishoprics; each Bishopric is outlined with a heavy border line and is numbered between 1-5 along the edge of the board inside a Bishop's Mitre.Each player controls up to four family members, comprised of male and female nobles. These family members will rise in power by gaining Royal and Ecclesiastic Titles.In Fief: France 1429, a player may attempt to gain control of all the villages in a Fief to gain the Royal Title of Baron, Earl or Duke. For each Fief a player controls, he gains 1 VP. These Titled Lords may now take part in the election for the next King. They may even be a candidate to become King, thus bringing 1 VP and more power to the family! Other members of your family may follow the calling of the Church to gain the Ecclesiastical Titles of Bishop and then Cardinal. These titles allow you to Tithe Bishoprics, taking the Church's (i.e. ""your"") fair share of income from other Fief Lords! The highest goal your clerical family member can attain is to be elected Pope, bringing 1 VP and special privileges to your family! You win the game as soon as you have 3 VPs. This is easier said than done and you may need to form alliances with other players through diplomacy and marriage to obtain your goal. When one of your family members marries a noble of another family, the two of you become allied. You now win the game together with 4 VPs and cannot win alone, unless your marriage is annulled by the Pope or your spouse is ""mysteriously"" murdered or dies of some other foul means!In addition to being wary of your fellow players, you may draw event cards that can quickly change your destiny. Bounty Event cards are beneficial to the Player and include ""Good Harvest"", ""Good Weather"" and ""Added Taxes"" cards. But some cards are Disaster Cards that can randomly effect all players in specific Bishoprics. These include ""The Plague"", ""Heavy Rain"", ""Famine"", and ""Peasant Uprisings""!Income can be increased by players imposing church tithes on their opponent's villages or taxing their own Fiefs. Players may purchase new Fief titles, improve their village incomes with mills, and fortify their cities.Players will also need to protect their land and castles. Men at Arms and Knights can be purchased, as well as Siege Engines. If you feel that other players are not running their Fiefs as well as you can, you may try to invade their territories! But you must risk one of your family members to lead the troops into possible battle, where they might be killed or taken prisoner. If two opposing armies are in the same village square, a Battle may be initiated. The players assess the size and strength of their armies, which determine the number of Battle Dice each may roll. Each ""f"" rolled is a hit. Men at Arms are defeated with one hit, while Knights require three hits to be removed from the battle.The Kickstarter Edition of Fief: France 1429 included the Fief: France 1429 Expansions Pack and offered 3-D buildings and metal coins as 'add ons.' These items are all still available directly from Academy Games.This game is the most recent edition of Fief. It re-implements:     Fief (first original edition, 1981)    Fief 2 (second edition with updated rules, 1989)    Fief (third edition with completely revised rules and material, 2011)",2015.0,Game,
Fief: France 1429 – Expansions Pack,https://boardgamegeek.com/boardgame/172154/fief-france-1429-expansions-pack,,Games Locker 2 R2 Middle Box,172154,3.0,6.0,https://cf.geekdo-images.com/thumb/img/JYNHqjbeJoNRivFMi7uTTOSCWiE=/fit-in/200x150/pic2382128.jpg,https://cf.geekdo-images.com/original/img/hupRIt1OXGHgM6qtU5Jn4akIkEQ=/0x0/pic2382128.jpg,The 5 expansions included in the Expansion Pack:    Tactical Expansion    Political Expansion    Crusaders Expansion    Templars Expansion    Teutonic Knights Expansion,2015.0,Expansion,Fief: France 1429
